id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
Q91VR5,Ddx1,0.451666666666668,0.3803185148500578,3,2,0.5946466946816252,0.2257409907813861
Q6PD03,Ppp2r5a,0.8499999999999996,0.3826211792213468,2,2,0.5968158106514788,0.2241596801940011
Q9DCV7,Krt7,-0.1899999999999977,0.382412869905865,3,3,0.5968158106514788,0.2241596801940011
P63038,Hspd1,0.226666666666663,0.386441704613646,3,3,0.6020549376537567,0.220363877461001
P17427,Ap2a2,0.1833333333333335,0.3874064467589372,3,3,0.6021191973464292,0.2203175259755276
Q9D0M1,Prpsap1,0.5899999999999981,0.3873990696947994,3,2,0.6021191973464292,0.2203175259755276
Q8BKG3,Ptk7,-0.269999999999996,0.3908671009744126,3,3,0.6067746424650404,0.2169725769749862
Q9R062,Gyg1,0.4966666666666697,0.3916109511834759,3,3,0.6072065164604669,0.2166635762963107
Q9D0T1,Nhp2l1,0.3599999999999994,0.3929980780931064,3,3,0.6086336031275662,0.2156440735848088
O70423,Aoc3,0.5299999999999976,0.3959516827957685,3,3,0.6090691493072347,0.2153333979127167
P20108,Prdx3,-0.3333333333333321,0.3983941422226302,3,3,0.6090691493072347,0.2153333979127167
P68369,Tuba1a,-1.4799999999999969,0.3973943623296492,3,3,0.6090691493072347,0.2153333979127167
Q9ESW4,Agk,-0.3099999999999987,0.3944193288624547,2,2,0.6090691493072347,0.2153333979127167
P60843,Eif4a1,0.5883333333333312,0.3977250003874764,3,2,0.6090691493072347,0.2153333979127167
Q501J6,Ddx17,0.3300000000000018,0.3946835406408619,2,3,0.6090691493072347,0.2153333979127167
O88456,Capns1,-0.3399999999999998,0.3998183986249945,3,3,0.6090691493072347,0.2153333979127167
Q99P72,Rtn4,0.2366666666666681,0.3980476405316648,3,3,0.6090691493072347,0.2153333979127167
P51150,Rab7a,0.3566666666666691,0.3991210566074478,3,3,0.6090691493072347,0.2153333979127167
Q9D832,Dnajb4,-0.8933333333333309,0.3996610421386798,3,3,0.6090691493072347,0.2153333979127167
P19157,Gstp1,0.3200000000000003,0.3968099709049493,3,3,0.6090691493072347,0.2153333979127167
P50285,Fmo1,-0.3733333333333384,0.3953624655021679,3,3,0.6090691493072347,0.2153333979127167
O35682,Myadm,-0.7200000000000024,0.3990718761331647,3,3,0.6090691493072347,0.2153333979127167
