id,gene,log2FC,pval,n_group1,n_group2,group1,group2,padj,neglog10_padj
Q8BG81,Poldip3,0.1700110213485768,0.8376655746521399,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P62281,Rps11,-0.0656733119847565,0.8353522944286984,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P19221,F2,-0.1306943119847545,0.8622886913650456,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P52825,Cpt2,-0.1781846453180904,0.8621316342879364,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
O88783,F5,0.0344823546819146,0.8528969270213035,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q3TML0,Pdia6,-0.1156579786514253,0.8563599181727346,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P43275,Hist1h1a,-0.0790593119847535,0.8480930909706538,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q99JW2,Acy1,-0.0405233119847627,0.8402197303852126,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
O88520,Shoc2,0.0695690213485811,0.8435363672697369,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9WU28,Pfdn5,0.0644243546819094,0.851309388589458,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q1K3,Add1,0.0781203546819098,0.8576079057166821,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
F8VPZ3,Usp32,-0.1180476453180894,0.8377829253974447,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q91VR2,Atp5c1,-0.0204246453180871,0.8612526544477632,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q02053,Uba1,-0.0355063119847542,0.8398960167331607,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9QLW5,Igf2,0.096254354681907,0.8449920513870668,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P61211,Arl1,0.1284513546819088,0.8591045979135455,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9PW07,Dos,0.0253210213485814,0.8535578464794069,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P70302,Stim1,-0.0773433119847553,0.8430799356208223,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q8Q6,Ccdc141,0.091864021348579,0.856381080999032,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
D3YZU1,Shank1,-0.032731978651423,0.8540534111624076,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8C2Q7,Hnrnph1,0.0682006880152412,0.8478755728111114,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q5A0,Rpl13a,-0.1201583119847553,0.8570279551011277,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
